Date,Close,Open,High,Low,Volume
2022-01-04,183.083,182.346,184.1623,181.6475,139130841
2022-01-05,182.4287,183.642,184.0553,181.1695,89754383
2022-01-06,183.9274,182.9393,184.026,181.9244,98544005
2022-01-07,187.8534,184.9213,188.6288,184.3414,51569720
2022-01-10,186.9118,188.6367,190.9947,185.3269,76293611
2022-01-11,185.975,187.341,188.1339,185.0571,55181930
2022-01-12,190.1015,185.9098,191.3094,184.8931,88689071
2022-01-13,192.0047,188.5227,193.9313,186.4626,93878697
2022-01-14,190.3646,192.4171,192.869,188.5189,137457467
2022-01-17,191.6283,190.5622,193.708,190.164,147428812
2022-01-18,190.0088,191.8885,192.6045,189.4474,65955843
2022-01-19,188.3964,188.7958,188.8496,188.1803,71691366
2022-01-20,188.7975,187.378,191.237,184.7154,76875637
2022-01-21,183.096,189.7917,191.5602,182.4974,105614081
2022-01-24,178.084,183.0598,184.1356,176.6175,67686426
2022-01-25,176.3148,178.6908,179.8491,174.4069,144226714
2022-01-26,173.3717,176.3398,176.6228,171.2602,65340110
2022-01-27,173.9289,173.3975,175.5271,171.854,142307454
2022-01-28,171.299,174.7449,176.1649,170.4367,56240327
2022-01-31,167.4132,170.857,170.9413,165.359,79915838
2022-02-01,170.8426,167.4936,171.4287,166.7757,106620918
2022-02-02,170.0077,170.4477,171.3928,167.6856,129966125
2022-02-03,169.9249,169.6384,170.1648,168.1232,79839934
2022-02-04,166.0385,169.6623,170.1604,164.397,132992103
2022-02-07,164.4337,166.223,167.3235,164.2286,135346315
2022-02-08,164.4606,164.04,164.5739,163.3205,68235532
2022-02-09,161.3745,165.4932,166.9127,161.1679,135313277
2022-02-10,162.0419,160.6527,165.8289,160.0078,80436906
2022-02-11,160.3389,161.8905,162.4559,158.9056,63022270
2022-02-14,159.3968,159.9863,161.1433,157.5497,73916796
2022-02-15,157.7191,160.55,163.585,157.2651,71709264
2022-02-16,161.8646,157.8741,163.1721,156.1993,81478135
2022-02-17,161.589,162.6997,163.5056,161.0545,90322851
2022-02-18,158.7829,160.3888,163.0288,158.4523,70638676
2022-02-21,160.5038,158.9949,160.5305,157.7691,56918863
2022-02-22,157.3238,161.2178,162.1567,156.1192,74693539
2022-02-23,157.5807,157.3886,157.8113,156.9557,103938971
2022-02-24,152.7123,158.4202,160.1627,152.6528,132932341
2022-02-25,149.4407,152.3173,153.1044,149.4015,56257838
2022-02-28,149.6579,150.4938,151.456,148.7498,76099300
2022-03-01,151.0911,151.3781,151.9627,150.8126,140301341
2022-03-02,151.2529,150.817,152.4064,149.7019,133744525
2022-03-03,150.7636,150.916,151.0641,149.69,60601417
2022-03-04,149.8565,151.8592,153.833,148.6154,78116038
2022-03-07,146.3083,151.0401,151.4305,144.1474,136087660
